Orbital Period (days),Eccentricity,BH mass (Msun),Companion mass (Msun),Age (Myr)
1947818.107647,0.560780,7.511631,0.945429,6516.225397
134304.960905,0.118452,7.665003,0.254355,9506.227792
2317415.444753,0.474676,8.508693,1.126592,6372.019610
196771.786602,0.802462,20.316271,0.727749,11752.392916
2322790.450420,0.220007,12.276905,0.230585,8797.473941
4433080.694134,0.799129,7.349109,1.099700,7551.175982
163109.201873,0.587889,8.126804,1.023176,8475.594618
14076688.481385,0.596116,8.225582,0.298319,3757.635308
1581741.425162,0.349107,15.208330,0.469583,9616.012486
297160.309102,0.729007,18.035557,0.396663,10089.141162
6125865.569920,0.837656,8.308268,1.033249,8011.954069
3066561.543753,0.414570,8.088259,0.678667,3682.391100
15567899.688825,0.607250,7.940345,0.666226,4305.319314
3207301.185575,0.724120,7.365298,0.827727,3991.786713
8298.057207,0.551979,13.673415,0.969726,7119.777198
6477522.534010,0.609305,7.734413,0.164757,2409.008718
5457200.988685,0.816529,7.485023,1.792068,1269.599498
64986.781731,0.669422,12.883600,0.444480,7445.368010
794420.177893,0.608948,7.332530,1.750095,836.580158
242531.118710,0.654789,24.488510,0.149031,9227.650883
163499.669807,0.128354,7.517030,0.597350,6223.412997
3013647.231130,0.852767,17.252459,0.392166,3512.532264
4823393.021477,0.365957,8.263760,0.626642,8692.502885
25835.311976,0.315100,13.899971,0.709175,9807.474067
753025.810395,0.386476,7.512307,0.417760,9238.046616
4998244.783107,0.276230,8.217233,0.426579,8240.193010
156675.184829,0.255294,7.926256,0.859039,7491.907305
200603.740261,0.491708,7.491271,1.111814,585.364498
694152.049566,0.487954,14.543403,0.495710,10256.842782
1996565.404048,0.839986,7.344413,0.305964,5434.836848
1521602.244234,0.806646,8.308193,0.940404,8501.240422
4356120.271663,0.379605,7.999032,1.403275,285.452900
13443114.212121,0.757392,7.471318,0.325515,6337.076324
441523.345621,0.380902,15.800249,0.521672,10682.855033
860975.263992,0.591974,8.223928,0.896017,2236.202077
35715.049021,0.069677,7.570954,0.659181,8432.270463
12978920.453629,0.684100,8.473454,1.192345,4228.399676
2035069.375318,0.815992,7.948970,2.455519,489.283506
2836962.567353,0.201217,7.731059,0.509419,5890.078518
1570869.317287,0.796545,7.510585,1.413553,547.499758
17172.885331,0.446290,13.047148,0.660260,9420.279013
303639.474846,0.743991,7.521331,1.008581,8522.364967
2725531.845828,0.785241,7.408596,0.767901,5150.600572
1370328.884572,0.881404,14.199510,0.098637,10008.462918
131600.250563,0.675115,12.780057,0.309859,6680.758266
162992.837751,0.527820,13.381271,0.267961,9099.384440
6647592.200485,0.529422,7.743861,0.091203,597.519965
1619821.648933,0.966384,17.676423,0.634576,9975.777317
7861549.017180,0.791989,8.261594,0.166795,3949.258276
265799.523427,0.586078,10.686359,0.377473,6929.908671
823145.929287,0.660304,19.614094,0.174027,10520.631878
93700.467433,0.228899,16.722365,0.509547,9943.549513
608792.550821,0.607982,7.167129,0.142555,7231.385873
19156.065677,0.154805,19.008972,0.331201,11800.459072
1648646.107211,0.818158,8.080502,1.251830,1991.197184
130265.339443,0.467810,8.094431,0.884078,2582.477305
3113561.176215,0.220313,7.782643,1.205847,5261.199775
167780.784726,0.434189,18.115659,0.333658,11567.759772
7975772.288739,0.834649,7.513155,0.963927,1396.121236
1554572.673981,0.599580,8.186521,0.838117,8750.679786
4338335.813362,0.750291,8.240182,0.914788,6316.862287
269725.203319,0.560664,16.419288,0.501104,10559.238827
312459.928601,0.814602,8.476198,0.637871,8626.548453
421916.221925,0.739046,7.390705,0.546170,5801.769632
23449.131853,0.443722,17.498814,0.667593,10762.636651
2894238.776249,0.837034,7.467465,0.291961,3734.588187
4183237.962020,0.619982,8.149718,0.796935,499.447612
691102.167654,0.715644,7.901618,0.716912,2564.185525
1460627.925139,0.576507,7.328730,1.032428,514.016122
164538.204070,0.224187,18.371879,0.962479,5040.080916
56350.020606,0.758416,14.816245,0.152665,10273.791431
973566.188015,0.378089,16.929623,0.562761,10326.253974
2150322.910261,0.869922,8.101879,0.956433,7736.321125
327913.056539,0.327930,8.595619,1.050177,6643.746263
340464.879154,0.710831,8.073494,0.822349,5285.439884
246279.780377,0.687855,8.361509,17.421529,8.186849
2548358.711817,0.792815,7.940984,1.006869,5298.077457
671184.364017,0.261904,8.093163,1.744181,1397.825937
14310810.638124,0.665797,8.083938,1.860800,1292.523936
4980262.985731,0.576942,8.111158,0.637971,7014.182435
277896.706197,0.693936,7.520918,1.875612,1395.600727
1219546.158781,0.617105,7.764777,0.116598,3735.970520
1154924.263858,0.605990,13.265293,0.810749,8590.491252
667040.465445,0.632386,13.142144,0.862071,9815.217264
1593360.821672,0.905826,17.775456,0.441691,10894.782511
67512.083284,0.148181,7.446254,0.604618,1616.759745
4799745.891188,0.927567,5.976313,0.508919,6921.862249
1.051228,0.000000,8.304298,0.972526,7604.037042
754818.183298,0.764181,8.012441,0.911353,5884.898169
9.852215,0.422044,5.982508,1.008058,5541.326563
1615053.891706,0.630707,8.095254,2.213655,359.334969
0.245314,0.000000,15.145600,0.021528,13267.818863
576864.387778,0.661416,13.108320,0.612505,7576.314825
4121615.222028,0.949556,8.267777,0.479751,8211.155087
542273.511111,0.202684,7.408908,0.812979,541.338745
2494077.749260,0.639706,7.849730,0.235140,8239.739900
2027645.902767,0.406996,7.630444,0.343981,2173.682584
4234454.451602,0.334634,7.806953,0.564040,1559.558721
184828.272691,0.252417,8.413461,0.196628,5895.933127
5520520.947993,0.756910,7.938054,0.805769,4306.126825
743692.091248,0.733546,17.008246,0.754950,10477.218535
140953.021091,0.470366,17.127245,0.374632,2988.367058
0.810300,0.112373,9.915144,0.637511,7294.459446
1378771.739979,0.889271,7.823540,0.295799,8519.786762
1902434.427986,0.640986,8.490404,1.711987,1675.434516
10621663.965126,0.882044,13.907706,0.258256,8764.165386
6210830.295501,0.931711,7.707328,0.080576,539.371359
303472.773489,0.965467,17.790906,0.181932,7970.041901
165745.788158,0.794127,13.365631,0.596173,9741.107762
633159.379204,0.304700,7.936185,8.095415,23.082074
2202737.559956,0.304958,8.084602,0.846261,2613.748900
173822.230771,0.490083,8.156588,0.448966,4240.417486
238932.953215,0.543634,12.921859,0.099271,9669.882585
2088579.960055,0.753896,7.772046,0.261325,5459.806100
39933.813081,0.597556,15.187191,0.925058,8011.945826
264848.151480,0.762544,7.969196,3.692647,70.950842
162146.395470,0.261637,7.980495,0.994032,8608.898170
31136.705819,0.403265,12.860940,1.020637,6408.329785
1023909.288885,0.577082,7.341065,1.145718,4313.216548
9330845.687787,0.727917,8.235379,0.860498,7012.301487
7926704.600802,0.688732,7.356106,0.289272,6612.995337
242071.997819,0.595945,17.344355,0.655055,9998.972966
267829.631960,0.631666,8.270201,0.140126,9744.715521
1734723.508390,0.380623,7.367672,1.288514,4762.872853
3194863.973091,0.735331,7.959746,0.388701,3793.974671
3724120.699803,0.950574,14.896455,0.337301,8486.219775
8191070.221315,0.849916,15.390916,0.117549,7487.632083
622159.898543,0.291662,17.530013,0.692526,8801.885694
3101765.372484,0.728846,8.598046,0.961406,5803.912145
1051737.866909,0.556909,8.249176,0.783969,8626.464862
2450893.054406,0.626156,16.106805,0.633217,10981.581040
398047.270315,0.702568,10.668648,0.800052,8280.817559
4549978.687223,0.412247,7.597663,0.177380,7869.124925
2271786.611458,0.547226,7.761670,0.945934,3483.599584
2218699.689643,0.344549,8.064704,0.922390,7480.239364
669659.761319,0.772440,18.321402,0.445075,8294.028608
1510513.446894,0.270641,7.198601,0.725923,8234.574345
22041319.378827,0.405600,8.365552,0.792996,3482.256360
2758728.038037,0.734829,8.019232,0.691386,189.408415
654989.763770,0.459623,7.861258,0.259189,246.178312
327254.327850,0.606714,12.366686,0.903188,7846.045671
3.122546,0.059730,7.845431,0.497599,4288.269396
248293.228392,0.615796,7.466796,0.885545,1345.578855
841446.389913,0.739973,8.078362,0.096690,6337.994881
698328.826899,0.834489,14.390841,0.804182,8475.644051
3606933.680630,0.323782,7.943519,0.963333,7329.996501
4352493.567337,0.857946,16.881445,0.974690,6763.357558
1119515.241996,0.711965,7.683533,0.165289,4497.077345
4194487.210244,0.763838,8.000399,1.108310,869.695156
1158601.586710,0.508251,7.770629,0.184812,6733.814324
1013021.751947,0.735077,8.260403,1.425733,2611.666905
439504.458711,0.716584,7.423302,0.302539,8061.503908
41114.455164,0.244430,12.733697,0.864497,7720.139091
545653.050656,0.449638,14.804942,0.811082,12044.125269
99174.833562,0.415502,7.451209,0.698016,7239.922412
287372.586153,0.857885,12.900694,0.726241,8866.397611
1206138.750635,0.174948,7.591328,1.101134,5863.440254
205314.351695,0.602936,16.847750,0.458373,5876.255243
2890542.474490,0.203734,7.495807,1.032558,5871.885989
987610.560326,0.270474,7.382099,0.573717,4950.714582
3516067.617274,0.664980,7.381433,0.636043,6831.880770
1123125.499968,0.784329,7.462100,7.423719,41.544851
274980.826476,0.632067,13.183215,0.429411,9347.043605
8508610.744669,0.740051,7.418989,0.808948,743.328887
1398416.324415,0.252835,7.587047,1.470102,245.625802
1887842.052314,0.745395,7.720189,0.732606,4997.229737
3139299.466375,0.736247,22.085136,0.547213,10079.348496
2949385.837529,0.368926,7.825739,0.410113,8196.009077
0.166514,0.000000,3.064114,0.032575,12851.682082
897716.463737,0.733569,8.229950,0.565355,2696.368982
2096697.767453,0.386076,8.375036,0.478173,9416.138935
220515.207795,0.567374,7.498431,0.865798,3210.245796
7032692.279669,0.456027,7.844356,0.159781,7145.476870
720899.879304,0.569325,19.256123,0.792560,10740.209270
522187.051294,0.721687,7.592061,1.447316,2679.422879
73180.161363,0.583133,11.874520,0.971746,8816.228914
2185903.157616,0.286685,11.703072,0.196416,5466.938537
86059.692497,0.052381,10.617237,0.323043,8473.791526
4363266.081010,0.779262,8.314771,0.319907,8270.238000
128410.195306,0.251728,7.814621,0.550201,7729.731824
12614321.389767,0.946632,8.224446,1.052695,3853.279420
1496522.784056,0.881650,12.152142,2.116550,453.193689
25547.288838,0.064047,11.778894,0.564921,7989.750577
3951634.638428,0.397531,7.965237,0.499212,473.184357
30688.172067,0.277337,7.596419,0.100212,7276.293305
7510415.999630,0.773257,7.510585,0.204485,5848.674146
5128319.830790,0.406828,7.676873,1.036430,1599.721176
1275860.123488,0.611975,7.614094,1.108139,6553.184581
199644.466067,0.618457,7.606129,0.826347,4861.723661
1.259887,0.000000,8.637121,0.772101,8047.364618
267939.341206,0.787099,8.273216,2.508377,503.379163
369857.408350,0.620837,15.269751,0.846549,11136.751802
189554.223503,0.221468,7.460137,0.125849,2649.193724
58439.109915,0.322923,7.473857,0.166446,4518.152601
22684.271092,0.685506,19.350075,0.118399,10285.949840
1922614.009789,0.873490,41.396997,0.783375,10305.213682
1586251.813881,0.683325,10.969197,0.590549,7883.359416
17078655.788850,0.774817,8.524907,2.049206,284.800432
3185250.771781,0.550301,7.816228,0.889796,2268.758926
3905352.924060,0.827065,7.590032,0.898801,5199.165568
7516221.480773,0.638034,8.285600,0.497857,8010.390426
40519.062622,0.364916,18.331620,0.250866,9116.411694
4481265.127653,0.672335,15.668331,0.836495,9961.452040
3921470.438713,0.406360,16.028258,0.652298,8457.269006
338995.145986,0.290249,7.760610,0.487680,3050.374245
202464.290556,0.766676,12.025517,0.666426,8007.003871
4724165.368581,0.702886,7.864834,0.667290,2576.774842
530359.262456,0.729778,8.301989,1.020230,5724.490127
848055.126693,0.697121,7.357835,0.533328,4624.774239
606785.899356,0.772017,7.442675,1.944087,627.787577
4672.077680,0.050933,13.467167,0.819469,2562.223748
3247866.015912,0.840411,7.510583,0.704975,1192.688498
2955260.999373,0.943900,7.660067,0.320990,8746.916592
3760050.950993,0.574017,18.725317,0.183921,10556.026211
892169.753327,0.539028,8.181679,1.052307,7266.052444
228456.457139,0.562153,7.676015,1.349293,2315.289388
1556667.376087,0.766331,7.601637,0.753488,735.463890
752061.665408,0.662117,8.667068,0.882028,9371.568827
395810.577423,0.207582,7.342356,0.864991,1327.482399
2419799.601876,0.712499,16.151056,0.086136,9065.662893
622993.144612,0.527482,8.096159,0.967905,8289.868580
1365827.599289,0.445591,10.591927,0.835677,6357.698618
175708.615934,0.293426,8.338237,0.777533,6580.862040
599728.355306,0.352087,8.223902,1.438064,2836.177404
1899976.825058,0.453604,8.005185,1.084894,3890.557921
14447926.168190,0.704100,8.265672,0.507418,1120.974314
2.955728,0.560789,6.168119,0.889823,6509.274745
4006682.509687,0.412109,7.767386,0.776133,5815.682807
1.302282,0.232174,6.296982,0.716497,9127.178782
4400816.317332,0.634781,8.470362,0.498824,251.204814
2490128.097051,0.755348,7.511256,0.866821,2980.470286
13597181.053000,0.658267,8.281263,1.184820,5498.007156
4117159.921820,0.590265,7.385677,0.409875,7866.749701
153217.272149,0.114300,13.870247,0.194273,9755.436355
0.682037,0.293596,8.632281,0.545246,11302.518613
1820219.377376,0.239992,7.952335,0.980469,1775.059516
2487391.655268,0.621411,7.400887,0.333775,5861.896166
780823.290554,0.638504,7.271395,0.972401,6432.290756
2389838.861284,0.794031,33.392614,0.093981,9925.329330
1104624.120559,0.838947,8.656077,0.215491,7211.225839
8601038.813587,0.844478,7.354547,0.695541,2007.635430
3167541.382727,0.949715,14.017772,0.722821,10556.285542
3268121.950518,0.266838,7.762777,1.079209,1715.257576
298416.409972,0.841879,11.839475,0.542416,8014.527592
1207972.906307,0.905572,14.839788,0.545283,12001.070512
